datetime,Close,Pos,Account,AccountCum,Openorder,Closeorder
2013/5/15,1445.0,1.0,0.0,1493.0,"{'Vol': 1, 'Openpos': 1445.0, 'Type': 1, 'Time': '2013/5/15'}","{'Vol': 1, 'Closepos': 1445.0, 'Type': -1, 'Time': '2013/5/15'}"
2013/5/16,1470.0,-1.0,14.0,1507.0,"{'Vol': 1, 'Openpos': 1484.0, 'Type': -1, 'Time': '2013/5/16'}","{'Vol': 1, 'Closepos': 1470.0, 'Type': 1, 'Time': '2013/5/16'}"
2013/5/17,1470.0,0.0,0.0,1507.0,0,0
2013/5/20,1470.0,0.0,0.0,1507.0,0,0
2013/5/21,1514.0,-1.0,23.0,1530.0,"{'Vol': 1, 'Openpos': 1537.0, 'Type': -1, 'Time': '2013/5/21'}","{'Vol': 1, 'Closepos': 1514.0, 'Type': 1, 'Time': '2013/5/21'}"
2013/5/22,1520.0,-1.0,32.0,1562.0,"{'Vol': 1, 'Openpos': 1552.0, 'Type': -1, 'Time': '2013/5/22'}","{'Vol': 1, 'Closepos': 1520.0, 'Type': 1, 'Time': '2013/5/22'}"
2013/5/23,1490.0,0.0,0.0,1562.0,0,0
2013/5/24,1505.0,0.0,0.0,1562.0,0,0
2013/5/27,1484.0,-1.0,36.0,1598.0,"{'Vol': 1, 'Openpos': 1520.0, 'Type': -1, 'Time': '2013/5/27'}","{'Vol': 1, 'Closepos': 1484.0, 'Type': 1, 'Time': '2013/5/27'}"
2013/5/28,1493.0,1.0,19.0,1617.0,"{'Vol': 1, 'Openpos': 1474.0, 'Type': 1, 'Time': '2013/5/28'}","{'Vol': 1, 'Closepos': 1493.0, 'Type': -1, 'Time': '2013/5/28'}"
2013/5/29,1440.0,-1.0,74.0,1691.0,"{'Vol': 1, 'Openpos': 1514.0, 'Type': -1, 'Time': '2013/5/29'}","{'Vol': 1, 'Closepos': 1440.0, 'Type': 1, 'Time': '2013/5/29'}"
2013/5/30,1434.0,1.0,0.0,1691.0,"{'Vol': 1, 'Openpos': 1434.0, 'Type': 1, 'Time': '2013/5/30'}","{'Vol': 1, 'Closepos': 1434.0, 'Type': -1, 'Time': '2013/5/30'}"
2013/5/31,1491.0,1.0,110.0,1801.0,"{'Vol': 1, 'Openpos': 1381.0, 'Type': 1, 'Time': '2013/5/31'}","{'Vol': 1, 'Closepos': 1491.0, 'Type': -1, 'Time': '2013/5/31'}"
2013/6/3,1450.0,0.0,0.0,1801.0,0,0
2013/6/4,1450.0,0.0,0.0,1801.0,0,0
2013/6/5,1450.0,0.0,0.0,1801.0,0,0
2013/6/6,1450.0,0.0,0.0,1801.0,0,0
2013/6/7,1450.0,0.0,0.0,1801.0,0,0
2013/6/13,1460.0,-1.0,-1.0,1800.0,"{'Vol': 1, 'Openpos': 1459.0, 'Type': -1, 'Time': '2013/6/13'}","{'Vol': 1, 'Closepos': 1460.0, 'Type': 1, 'Time': '2013/6/13'}"
2013/6/14,1460.0,0.0,0.0,1800.0,0,0
2013/6/17,1460.0,0.0,0.0,1800.0,0,0
2013/6/18,1460.0,0.0,0.0,1800.0,0,0
2013/6/19,1460.0,0.0,0.0,1800.0,0,0
2013/6/20,1460.0,0.0,0.0,1800.0,0,0
2013/6/21,1460.0,0.0,0.0,1800.0,0,0
2013/6/24,1460.0,0.0,0.0,1800.0,0,0
2013/6/25,1373.0,1.0,-76.0,1724.0,"{'Vol': 1, 'Openpos': 1449.0, 'Type': 1, 'Time': '2013/6/25'}","{'Vol': 1, 'Closepos': 1373.0, 'Type': -1, 'Time': '2013/6/25'}"
2013/6/26,1370.0,0.0,0.0,1724.0,0,0
2013/6/27,1370.0,0.0,0.0,1724.0,0,0
2013/6/28,1370.0,0.0,0.0,1724.0,0,0
2013/7/1,1370.0,0.0,0.0,1724.0,0,0
2013/7/2,1370.0,0.0,0.0,1724.0,0,0
2013/7/3,1370.0,0.0,0.0,1724.0,0,0
2013/7/4,1370.0,0.0,0.0,1724.0,0,0
2013/7/5,1370.0,0.0,0.0,1724.0,0,0
2013/7/8,1370.0,0.0,0.0,1724.0,0,0
2013/7/9,1370.0,0.0,0.0,1724.0,0,0
2013/7/10,1370.0,0.0,0.0,1724.0,0,0
2013/7/11,1370.0,0.0,0.0,1724.0,0,0
2013/7/12,1370.0,0.0,0.0,1724.0,0,0
2013/7/15,1370.0,0.0,0.0,1724.0,0,0
2013/7/16,1370.0,0.0,0.0,1724.0,0,0
2013/7/17,1376.0,-1.0,-2.0,1722.0,"{'Vol': 1, 'Openpos': 1374.0, 'Type': -1, 'Time': '2013/7/17'}","{'Vol': 1, 'Closepos': 1376.0, 'Type': 1, 'Time': '2013/7/17'}"
2013/7/18,1376.0,0.0,0.0,1722.0,0,0
2013/7/19,1390.0,-1.0,27.0,1749.0,"{'Vol': 1, 'Openpos': 1417.0, 'Type': -1, 'Time': '2013/7/19'}","{'Vol': 1, 'Closepos': 1390.0, 'Type': 1, 'Time': '2013/7/19'}"
2013/7/22,1390.0,0.0,0.0,1749.0,0,0
2013/7/23,1390.0,0.0,0.0,1749.0,0,0
2013/7/24,1390.0,0.0,0.0,1749.0,0,0
2013/7/25,1390.0,0.0,0.0,1749.0,0,0
2013/7/26,1390.0,0.0,0.0,1749.0,0,0
2013/7/29,1380.0,-1.0,73.0,1822.0,"{'Vol': 1, 'Openpos': 1453.0, 'Type': -1, 'Time': '2013/7/29'}","{'Vol': 1, 'Closepos': 1380.0, 'Type': 1, 'Time': '2013/7/29'}"
